ISSN,SJR_Q,SJR_H,VHB,FNEGE,CoNRS,HCERE,CORE,sourc,DAEN,AJG,JCR,SNIP,SJR,CiteS,ABDC,VHB4,NF
14440938,Q1,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australasian journal of optometry, The"
0817881X,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australasian journal of optometry, The"
22027270,Q1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Journal of Paramedicine
00048402,Q1,47,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Australasian Journal of Philosophy
14716828,Q1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Journal of Philosophy
20455852,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Journal of Popular Culture
20455860,Q4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Journal of Popular Culture
13240935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australasian Journal of Regional Studies
10307923,Q4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Journal of Regional Studies
18366864,Q4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Journal of Ultrasound in Medicine
22050140,Q4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Journal of Ultrasound in Medicine
14406381,Q1,39,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australasian Journal on Ageing
17416612,Q1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australasian Journal on Ageing
14413582,Q1,40,D,NA,NA,NA,NA,NA,1,1,NA,55,52,52,A,NA,Australasian Marketing Journal
18393349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,C,Australasian Marketing Journal
22077480,Q4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Orthodontic Journal
14465604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australasian Parks and Leisure
01589938,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australasian Physical & Engineering Sciences in Medicine
1833928X,Q3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Plant Disease Notes
08153191,Q2,57,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australasian Plant Pathology
14486032,Q2,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Plant Pathology
10398562,Q3,41,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australasian Psychiatry
14401665,Q3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Psychiatry
14478420,Q2,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australasian Review of African Studies
22035184,Q2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australasian Review of African Studies
13691473,Q3,43,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Australian & New Zealand Journal of Statistics
07294352,Q2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Aboriginal Studies
00048623,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Academic & Research Libraries
18352561,Q2,40,C,4,NA,NA,NA,NA,NA,2,17,37,29,38,B,NA,Australian Accounting Review
10356908,Q2,40,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australian Accounting Review
00048658,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Australian and New Zealand Journal of Criminology
18379273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian and New Zealand Journal of Criminology
0814723X,Q2,21,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian and New Zealand Journal of Family Therapy
00048666,Q2,68,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian and New Zealand Journal of Obstetrics and Gynaecology
1479828X,Q2,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian and New Zealand Journal of Obstetrics and Gynaecology
00048674,Q1,123,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian and New Zealand Journal of Psychiatry
14401614,Q1,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian and New Zealand Journal of Psychiatry
13260200,Q2,80,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian and New Zealand Journal of Public Health
17536405,Q2,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian and New Zealand Journal of Public Health
1467842X,Q3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian and New Zealand Journal of Statistics
00048682,Q4,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian and New Zealand Journal of Surgery
03122417,Q1,26,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Archaeology
10321942,Q2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Art Educatio
08148589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Bar Review
03116336,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,B,NA,Australian Bulletin of Labour
03101053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Business Law Review
13217844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Commodities
10367314,Q1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Critical Care
00450421,Q2,76,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Dental Journal
18347819,Q2,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Dental Journal
14678446,Q2,17,NA,NA,NA,NA,NA,NA,NA,2,9,18,19,19,B,NA,Australian Economic History Review
00048992,Q2,17,NA,NA,3,B,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australian Economic History Review
14678454,Q2,17,NA,NA,NA,NA,NA,NA,NA,1,213,253,268,251,B,NA,Australian Economic Papers
0004900X,Q2,17,NA,NA,4,C,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australian Economic Papers
14678462,Q3,32,NA,NA,NA,NA,NA,NA,NA,1,201,236,252,241,B,NA,Australian Economic Review
00049018,Q3,32,NA,NA,4,C,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australian Economic Review
08169020,Q4,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Educational Computing
03116999,Q1,32,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Australian Educational Researcher
13291947,Q2,37,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Endodontic Journal
17474477,Q2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Endodontic Journal
03008495,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Family Physicia
22040064,Q1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Feminist Law Journal
13200968,Q1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Feminist Law Journal
08164649,Q3,29,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Feminist Studies
14653303,Q3,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Feminist Studies
00049158,Q2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Forestry
00049182,Q1,48,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Geographer
14653311,Q1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Geographer
08189110,Q4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Geomechanics Journal
14454068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian GST Journal
14498944,Q2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Health Review
01565788,Q2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Health Review
1031461X,Q2,19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Historical Studies
19405049,Q2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Historical Studies
10381635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Intellectual Property Journal
22032290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Journal of Actuarial Practice
22035354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Journal of Actuarial Practice
14431394,Q3,17,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Adult Learning
14474328,Q2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Advanced Nursing
08130531,Q2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Advanced Nursing
14678489,Q1,51,NA,NA,NA,NA,NA,NA,NA,2,90,129,129,95,A,NA,Australian Journal of Agricultural and Resource Economics
1364985X,Q1,51,NA,NA,3,B,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Australian Journal of Agricultural and Resource Economics
10358811,Q2,27,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"Australian Journal of Anthropology, The"
14430738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Journal of Asian Law
00671924,Q2,70,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Botany
14449862,Q2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Botany
18390846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Journal of Business and Management Research
14412551,Q4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Cancer Nursing
22006974,Q3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australian Journal of Career Development
10384162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australian Journal of Career Development
00049425,Q3,80,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Chemistry
14450038,Q3,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Chemistry
14488353,Q2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Civil Engineering
08100713,Q4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Clinical Hypnotherapy and Hypnosis
08116202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Journal of Communicatio
18389260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australian Journal of Competition and Consumer Law
10374124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Journal of Corporate Law
18352707,Q3,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Crop Science
18352693,Q3,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Crop Science
08120099,Q2,78,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Earth Sciences
00049441,Q1,38,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Educatio
20505884,Q1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Educatio
14465442,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Educational and Developmental Psychology
1448837X,Q3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Electrical and Electronics Engineering
13241540,Q2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Emergency Management
08140626,Q2,21,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australian Journal of Environmental Educatio
2049775X,Q2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australian Journal of Environmental Educatio
00450618,Q3,25,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Forensic Sciences
00049468,Q2,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of French Studies
22087958,Q2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of General Practice
2208794X,Q2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of General Practice
13227130,Q1,81,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Grape and Wine Research
17550238,Q1,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Grape and Wine Research
22091203,Q4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Herbal and Naturopathic Medicine
2209119X,Q4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Herbal and Naturopathic Medicine
1323238X,Q1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Journal of Human Rights
2573573X,Q1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Journal of Human Rights
13260111,Q1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Indigenous Educatio
20497784,Q1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Indigenous Educatio
13212133,NA,NA,NA,NA,NA,NA,B,CORE2020,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Intelligent Information Processing Systems
10357718,Q2,32,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Australian Journal of International Affairs
1465332X,Q2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Journal of International Affairs
13281143,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,B,NA,Australian Journal of Labour Economics
10307222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Journal of Labour Law
10381562,Q2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Language and Literacy
19404158,Q1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Learning Difficulties
19404166,Q1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Learning Difficulties
14404982,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Legal Philosophy
07268602,Q2,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Linguistics
13272020,Q1,41,NA,4,NA,NA,NA,NA,NA,2,30,32,29,34,A,C,Australian Journal of Management
03128962,Q1,41,C,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Australian Journal of Management
23336498,Q2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Maritime and Ocean Affairs
18366503,Q2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Maritime and Ocean Affairs
14495910,Q4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Mathematical Analysis and Applications
14484846,Q3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Mechanical Engineering
10369457,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Music Therapy
26162792,Q3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Otolaryngology
03118002,Q4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Pharmacy
10361146,Q2,38,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Australian Journal of Political Science
1363030X,Q2,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Journal of Political Science
00049522,Q3,24,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Politics and History
14678497,Q3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Politics and History
14487527,Q2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Primary Health
17429536,Q2,44,NA,NA,NA,NA,NA,NA,NA,1,50,51,50,48,B,NA,Australian Journal of Psychology
00049530,Q2,44,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australian Journal of Psychology
14678500,Q1,45,NA,NA,NA,NA,NA,NA,NA,2,29,36,36,37,A,NA,Australian Journal of Public Administratio
03136647,Q1,45,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Australian Journal of Public Administratio
18386059,Q4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Rehabilitation Counselling
13238922,Q4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Rehabilitation Counselling
10385282,Q2,51,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Rural Health
14401584,Q2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Rural Health
01576321,Q2,33,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australian Journal of Social Issues
00049557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australian Journal of Social Issues
13287982,Q2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Structural Engineering
1835517X,Q2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Teacher Educatio
03135373,Q2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Teacher Educatio
13241583,Q2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Water Resources
0004959X,Q3,47,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journal of Zoology
08102686,Q2,14,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Journalism Review
2517620X,Q2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Journalism Review
00049611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Law Journal
00049697,Q2,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Literary Studies
18367402,Q2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Mammalogy
03100049,Q2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Mammalogy
1836716X,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Meteorological and Oceanographic Journal
0004976X,Q4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Mining
00450766,Q1,47,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Occupational Therapy Journal
14401630,Q1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Occupational Therapy Journal
05873908,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Orthodontic Journal
21506841,Q2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Planner
07293682,Q2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Planner
03128008,Q3,30,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Prescriber
10385959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australian Property Law Journal
00050067,Q1,49,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Australian Psychologist
17429544,Q1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Australian Psychologist
01550640,Q1,18,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Review of Applied Linguistics
18321526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Review of Public Affairs
08188149,Q2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Slavonic and East European Studies
14404842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Social Monitor
0312407X,Q1,34,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Social Work
10301887,Q2,40,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Systematic Botany
0812695X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A*,NA,Australian Tax Forum
22039481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Australian Tax Law Bulleti
0311094X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,Australian Tax Review
22085394,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Universities Review
08188068,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Universities Review
00050423,Q2,62,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Veterinary Journal
17510813,Q2,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Veterinary Journal
0310138X,Q4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Veterinary Practitioner
00847658,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Australian Year Book of International Law
00672238,Q3,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australian Zoologist
10256954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Austrian Economic Quarterly
16054709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Austrian Economic Quarterly
00672378,Q2,9,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Austrian History Yearbook
15585255,Q2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian History Yearbook
19987781,Q4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of Clinical Endocrinology and Metabolism
19987773,Q4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of Clinical Endocrinology and Metabolism
20727151,Q3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of Earth Sciences
02517493,Q3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of Earth Sciences
03795292,Q3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of Forest Science
23135433,Q3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of Political Science
19992521,Q2,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of South-East Asian Studies
1999253X,Q2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of South-East Asian Studies
1026597X,Q3,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Austrian Journal of Statistics
13507532,Q3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Austrian Studies
22224262,Q3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrian Studies
18153704,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Austrian Studies in Social Anthropology
01554131,Q4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austrobaileya
00050601,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aut Aut
23000929,Q2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autex Research Journal
14709589,Q2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autex Research Journal
13623613,Q1,105,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Autism
14617005,Q1,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autism
23969415,Q3,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Autism & Developmental Language Impairments
19393792,Q1,76,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Autism Research
